"timestamp", "logmsg", "http.contentType", "json.Device_Model", "json.LEVEL", "json.Message", "logtypes", "tags", "http.clientHost"
"2018-12-19 13:51:04.268 +01:00","{""LEVEL"":""Log"",""Message"":""917aa63a8ab112d7e53d4cdf7b9322da_2018\/12\/19 13:51:01_button_gameOver"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto C Plus""}","application/x-www-form-urlencoded","motorola Moto C Plus","Log","917aa63a8ab112d7e53d4cdf7b9322da_2018/12/19 13:51:01_button_gameOver","['json']","['Unity3D']","83.134.143.137"
"2018-12-19 13:49:00.238 +01:00","{""LEVEL"":""Log"",""Message"":""917aa63a8ab112d7e53d4cdf7b9322da_2018\/12\/19 13:48:57_button_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto C Plus""}","application/x-www-form-urlencoded","motorola Moto C Plus","Log","917aa63a8ab112d7e53d4cdf7b9322da_2018/12/19 13:48:57_button_gameResumed","['json']","['Unity3D']","83.134.143.137"
"2018-12-19 13:48:58.275 +01:00","{""LEVEL"":""Log"",""Message"":""917aa63a8ab112d7e53d4cdf7b9322da_2018\/12\/19 13:48:55_button_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto C Plus""}","application/x-www-form-urlencoded","motorola Moto C Plus","Log","917aa63a8ab112d7e53d4cdf7b9322da_2018/12/19 13:48:55_button_gameStarted","['json']","['Unity3D']","83.134.143.137"
"2018-12-19 08:48:36.193 +01:00","{""LEVEL"":""Log"",""Message"":""7cf4545664e481a536beb8574bd58ff0_2018\/12\/19 08:48:35_release_2541"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J330FN""}","application/x-www-form-urlencoded","samsung SM-J330FN","Log","7cf4545664e481a536beb8574bd58ff0_2018/12/19 08:48:35_release_2541","['json']","['Unity3D']","84.86.53.115"
"2018-12-19 08:48:36.177 +01:00","{""LEVEL"":""Log"",""Message"":""7cf4545664e481a536beb8574bd58ff0_2018\/12\/19 08:48:35_release_gameOver"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J330FN""}","application/x-www-form-urlencoded","samsung SM-J330FN","Log","7cf4545664e481a536beb8574bd58ff0_2018/12/19 08:48:35_release_gameOver","['json']","['Unity3D']","84.86.53.115"
"2018-12-19 08:47:30.385 +01:00","{""LEVEL"":""Log"",""Message"":""7cf4545664e481a536beb8574bd58ff0_2018\/12\/19 08:47:29_release_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J330FN""}","application/x-www-form-urlencoded","samsung SM-J330FN","Log","7cf4545664e481a536beb8574bd58ff0_2018/12/19 08:47:29_release_gameResumed","['json']","['Unity3D']","84.86.53.115"
"2018-12-19 08:47:19.639 +01:00","{""LEVEL"":""Log"",""Message"":""7cf4545664e481a536beb8574bd58ff0_2018\/12\/19 08:47:18_release_gameStarted"",""Stack_Trace"":"""",""Device_Model"":""samsung SM-J330FN""}","application/x-www-form-urlencoded","samsung SM-J330FN","Log","7cf4545664e481a536beb8574bd58ff0_2018/12/19 08:47:18_release_gameStarted","['json']","['Unity3D']","84.86.53.115"
"2018-12-18 13:21:11.440 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/18 13:21:13_release_gamePaused"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/18 13:21:13_release_gamePaused","['json']","['Unity3D']",""
"2018-12-18 13:19:34.163 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/18 13:19:35_release_gameResumed"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/18 13:19:35_release_gameResumed","['json']","['Unity3D']","213.119.131.120"
"2018-12-18 13:19:33.958 +01:00","{""LEVEL"":""Log"",""Message"":""deba690ab4d9f6721bda0cb2045e3e5a_2018\/12\/18 13:19:35_release_gamePaused"",""Stack_Trace"":"""",""Device_Model"":""motorola Moto G (4)""}","application/x-www-form-urlencoded","motorola Moto G (4)","Log","deba690ab4d9f6721bda0cb2045e3e5a_2018/12/18 13:19:35_release_gamePaused","['json']","['Unity3D']","213.119.131.120"
